,Verbal Fluency - Number of Answers,Verbal Fluency - Forward Flow,AUT Broom - Number of Answers,AUT Belt - Number of Answers,AUT Belt - Originality,AUT Broom - Originality,AQT Pencil - Number of Answers,AQT Pillow - Number of Answers,AQT Pencil - Originality,AQT Pillow - Originality,AQT Complexity Score,Curiosity - Score,GF - Score,total_pages_visited,total_searches,topic_familiarity,n_pages,n_unique_pages,n_searches,revisit_rate,search_vs_link_ratio,mean_dwell,var_dwell,mean_step_distance,var_step_distance,forward_flow,dyn_slope,dyn_early_late_delta,dyn_n_steps,n_unique,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,path_breadth,bh_score
AQT Complexity Score,-0.11166995049896943,-0.11182625051431258,-0.08183748016380311,-0.019267221905981145,0.1169307050652025,0.303138517823742,-0.2387129255413747,-0.1083868748345097,0.43262455169850433,0.4029166400758224,1.0,-0.060658344863431045,-0.10927624563505646,0.019755339057759905,0.007405932434285915,0.1355291289437461,0.008834771668437,-0.030131870370244753,0.007405932434285915,-0.003460460560967116,0.04859916289440493,-0.039736678415923696,-0.10906640416913964,-0.1081068106810681,-0.035751178688333024,-0.09104110411041104,-0.08728545618789521,-0.13685636856368563,0.01236396439331238,-0.04256929236433701,-0.11237040569786985,-0.11303388545622918,-0.13901651641956023,-0.08508402721415316,-0.1226126288120002,-0.1164619997287295,-0.026953663152013987
Curiosity - Score,-0.0016266685899787067,0.039885611802201015,-0.04515404791414302,0.0866339216050656,-0.16071675356776383,-0.024683552740443527,0.05088188728355969,0.0428866339858729,0.02044400729032252,-0.08896605868958614,-0.060658344863431045,1.0,-0.08328365763710259,-0.12829875188407008,-0.16244300496623507,0.028937703085941312,-0.11817057740041083,-0.12691391785754014,-0.16244300496623507,-0.026992311362931665,-0.058836557437083985,0.11495954401988748,-0.026408957132218618,-0.11195616138058365,-0.1382074234245218,-0.09467659906947895,0.09622466111832181,0.04666295933968042,-0.12240936480126474,-0.14330981351441727,-0.09829782481512485,-0.11523164416963756,-0.08338960895443118,-0.053791270833873084,0.03487662689456627,0.03697652200963525,-0.05853335865173381
GF - Score,0.3613544586219728,0.3319104217533311,0.23086836227479401,0.10519403913552543,0.22506343796749037,0.0727587555657009,0.04822067541019389,0.13329723668033003,0.14104695727159142,0.08128145349923763,-0.10927624563505646,-0.08328365763710259,1.0,0.09486006579256637,0.06592267842285483,-0.27398182820068323,0.08709500760495943,0.16631056279708098,0.06592267842285483,-0.16934134271824747,0.020134109466538683,-0.031941165132217945,-0.07598126694605602,0.0208687973723688,-0.0383602690647858,0.015972891830464096,-0.02427905522009538,-0.056973010260792,0.045413872783594565,0.1369730038126231,0.17985725541029984,0.10247084187020888,0.1952985912844146,0.1332219274667079,0.175853776711503,0.0813905050893347,0.19702276270829785
total_pages_visited,0.06804240848085974,0.0718970440621262,0.10061929069607542,0.12064778426342106,0.15126622028907352,0.1804835443673763,0.17073277275904516,0.14350046354942664,-0.11933724215126727,-0.05406982338997712,0.019755339057759905,-0.12829875188407008,0.09486006579256637,1.0,0.4982836749408822,-0.12909927345168828,0.9931169522405993,0.9030402934424171,0.4982836749408822,0.5286442302143656,-0.4694195725698901,-0.9677419025389628,-0.402872841092105,0.17495690851553447,0.6740327676376517,0.2637133005008821,-0.06337372691296203,-0.16515370598092688,0.9736014931752339,0.8965800238958838,0.7146968558537938,0.40090917494264827,0.7155973539827247,0.11526899736262639,-0.050749295050703885,0.6728182906049041,0.19091030493242092
total_searches,0.1034097328822664,0.09683392162247959,0.06945451616496402,0.15263945361728934,0.12495128828528441,-0.017087130885897608,0.2275590067737824,0.18563591676357877,-0.010583088922988074,-0.056734216855112825,0.007405932434285915,-0.16244300496623507,0.06592267842285483,0.4982836749408822,1.0,-0.1242701531119694,0.4823086529359161,0.5129557844578079,1.0,0.18473365915939233,0.49171199280550726,-0.4896381342610291,-0.23776534229153998,0.29240283871529094,0.3942220031092103,0.24622380141978453,-0.02074411729314621,-0.020142344870301795,0.4798465146949034,0.5040466033932613,0.2342143018769183,-0.013510014362439654,0.33437797407432673,-0.13507062780754356,-0.29762215979771,0.42188739003693626,-0.22699136771141984
topic_familiarity,-0.23602946745414435,-0.24525659265251412,-0.06642561457615088,-0.0016837302220150071,-0.14724882370384682,-0.012044511067023252,-0.058663371576865166,0.040405014733933854,-0.042305447690935784,-0.012122922896387108,0.1355291289437461,0.028937703085941312,-0.27398182820068323,-0.12909927345168828,-0.1242701531119694,1.0,-0.14865248267965883,-0.1608373251851523,-0.1242701531119694,0.052769168886175936,-0.02145838163035973,0.10652263317574973,-0.009823140422203733,-0.1824671558406088,-0.14708420599557678,-0.21379267729125315,0.210280525444304,0.2637848876732815,-0.13195613880720244,-0.16458110543527096,-0.07176164934097243,-0.022972569867623492,-0.07227127321818369,0.009022377976325088,0.047275165207076045,-0.21486230907074358,0.006940382114125642
n_pages,0.07039320177267343,0.07376739194870893,0.09945583805446007,0.10583829195407232,0.1504320120754991,0.1709058676825033,0.16940372504964257,0.13040017819797697,-0.11546526126853694,-0.05914471188542194,0.008834771668437,-0.11817057740041083,0.08709500760495943,0.9931169522405993,0.4823086529359161,-0.14865248267965883,1.0,0.9064108277298155,0.4823086529359161,0.5448620114850589,-0.49037453992118907,-0.9723874460229669,-0.41697108720910764,0.17273472929067077,0.6740550206867726,0.2590900306124996,-0.04165754819555762,-0.15348416322871433,0.9796313733475467,0.8993868876827384,0.7139884418153463,0.3993339108191944,0.7136236945870833,0.11361964545464748,-0.05267539998111975,0.6841526061647669,0.1882720429201362
n_unique_pages,0.11031731563436206,0.11443699704444017,0.1417334785741138,0.14250774432129387,0.20438850428939837,0.11819860378510198,0.171084607322132,0.13615009556708066,-0.07200070472388911,-0.04977226686847263,-0.030131870370244753,-0.12691391785754014,0.16631056279708098,0.9030402934424171,0.5129557844578079,-0.1608373251851523,0.9064108277298155,1.0,0.5129557844578079,0.1943610189355542,-0.3853896966122691,-0.873694181023881,-0.40618257870426133,0.30329775171285106,0.6206301292392045,0.3996940549591628,-0.26266813618671275,-0.346534883191002,0.8828802554414872,0.9789060520766681,0.7567146793688251,0.4060662705284988,0.7412442072319176,0.10256381779237371,-0.07322019641119312,0.7055206811515878,0.20180900845328734
n_searches,0.1034097328822664,0.09683392162247959,0.06945451616496402,0.15263945361728934,0.12495128828528441,-0.017087130885897608,0.2275590067737824,0.18563591676357877,-0.010583088922988074,-0.056734216855112825,0.007405932434285915,-0.16244300496623507,0.06592267842285483,0.4982836749408822,1.0,-0.1242701531119694,0.4823086529359161,0.5129557844578079,1.0,0.18473365915939233,0.49171199280550726,-0.4896381342610291,-0.23776534229153998,0.29240283871529094,0.3942220031092103,0.24622380141978453,-0.02074411729314621,-0.020142344870301795,0.4798465146949034,0.5040466033932613,0.2342143018769183,-0.013510014362439654,0.33437797407432673,-0.13507062780754356,-0.29762215979771,0.42188739003693626,-0.22699136771141984
revisit_rate,-0.05249323400147132,-0.05488246367393706,-0.01606568439671995,-0.020779824757845993,-0.08675172097662913,0.09368946674726812,0.09863707842105483,0.09974565579553332,-0.12922639888979065,-0.0887647051941364,-0.003460460560967116,-0.026992311362931665,-0.16934134271824747,0.5286442302143656,0.18473365915939233,0.052769168886175936,0.5448620114850589,0.1943610189355542,0.18473365915939233,1.0,-0.30337356391601594,-0.5364044486750077,-0.14072901749269406,-0.21475821514532462,0.3580383014738851,-0.21413274258415177,0.36634051077440627,0.33558989247429466,0.5457021238259058,0.21790087115581044,0.1909232663908937,0.13420667614088166,0.22888460387255194,0.08494263222878097,0.024969164206472386,0.24628006313534667,0.024516512615293345
search_vs_link_ratio,-0.002590329611163742,-0.013216063110995846,-0.11188587073240343,0.006400230260455532,0.012422056149299499,-0.1743453359503711,0.006755330408451739,0.06031928783715887,0.13972627782753821,0.0909558887442796,0.04859916289440493,-0.058836557437083985,0.020134109466538683,-0.4694195725698901,0.49171199280550726,-0.02145838163035973,-0.49037453992118907,-0.3853896966122691,0.49171199280550726,-0.30337356391601594,1.0,0.43552746343295906,0.10486637688171604,0.12047686242549245,-0.24831768909651364,0.017260777655692623,-0.003751116403513014,0.06435650311569316,-0.47346849354338844,-0.3863465926072065,-0.505285074279564,-0.42727974731320617,-0.4099672355002934,-0.32212982169668,-0.22932221705114114,-0.28921121725207954,-0.3949256467225522
mean_dwell,-0.04845014778187749,-0.05205266431681526,-0.11182082970749666,-0.11418116257632015,-0.13944208435513833,-0.1542245748861148,-0.124221535565232,-0.1095460244954841,0.08793499058998133,0.005927720335010189,-0.039736678415923696,0.11495954401988748,-0.031941165132217945,-0.9677419025389628,-0.4896381342610291,0.10652263317574973,-0.9723874460229669,-0.873694181023881,-0.4896381342610291,-0.5364044486750077,0.43552746343295906,1.0,0.48167539331732206,-0.17540954095409542,-0.6657260969391136,-0.2553015301530153,-0.006007226738934056,0.0741869918699187,-0.9563031121593276,-0.873099840503789,-0.6533588471104373,-0.33856238082398354,-0.6755979605227599,-0.028887607044994285,0.15795079326155545,-0.681186151986504,-0.10722665613436033
var_dwell,-0.15807641159713873,-0.14597480710090174,0.050985846497408706,0.004681954419741303,-0.15595375688583876,-0.15069182000505668,-0.0196526211109069,-0.006687946781165739,-0.10744883587314127,-0.12010276797341299,-0.10906640416913964,-0.026408957132218618,-0.07598126694605602,-0.402872841092105,-0.23776534229153998,-0.009823140422203733,-0.41697108720910764,-0.40618257870426133,-0.23776534229153998,-0.14072901749269406,0.10486637688171604,0.48167539331732206,1.0,-0.06934293429342935,-0.348589003623192,-0.11147914791479148,-0.01592140921409214,0.02000903342366757,-0.40620002799013366,-0.4027095058549429,-0.285281715717966,-0.170402221804572,-0.2610340500946195,0.16538817333524017,-0.02317694736452163,-0.3357562744435658,-0.03266301472254143
mean_step_distance,-0.010974498081490473,-0.014521452145214522,0.10814754047182229,0.2208795183291544,0.0977872249543381,0.0643792665527451,0.0852910118588237,0.02222455667867704,-0.008653955862735608,-0.06108834613982084,-0.1081068106810681,-0.11195616138058365,0.0208687973723688,0.17495690851553447,0.29240283871529094,-0.1824671558406088,0.17273472929067077,0.30329775171285106,0.29240283871529094,-0.21475821514532462,0.12047686242549245,-0.17540954095409542,-0.06934293429342935,1.0,0.5499821062779937,0.936933693369337,-0.2790424570912376,-0.22874887082204157,0.14512108638310664,0.295757903916778,-0.055112430734508035,-0.23970198823760594,0.10105316907731557,-0.4634396109616978,-0.4529400163917665,0.099323966921812,-0.3866135325519298
var_step_distance,0.13231653817115216,0.15751174325702919,0.18435766739556056,0.2563493281057708,0.1211467411561079,0.26905470675724413,0.2335344965328362,0.13771501621326906,-0.00018015964715696375,-0.11005989846251445,-0.035751178688333024,-0.1382074234245218,-0.0383602690647858,0.6740327676376517,0.3942220031092103,-0.14708420599557678,0.6740550206867726,0.6206301292392045,0.3942220031092103,0.3580383014738851,-0.24831768909651364,-0.6657260969391136,-0.348589003623192,0.5499821062779937,1.0,0.5887715947440051,-0.13818879855465221,-0.14875790424570912,0.6766897259440219,0.6402354359322945,0.3865196795967279,0.08589696335000949,0.5142731903354762,-0.16365022127712672,-0.14816735021355454,0.45343234651897746,-0.1492019051211704
forward_flow,0.04187146857064009,0.03762376237623762,0.15339010666049768,0.2662485427223523,0.12497271046367416,0.10482034385503344,0.09813968619598523,0.07183963938921299,0.06009158117446023,0.01701640747576419,-0.09104110411041104,-0.09467659906947895,0.015972891830464096,0.2637133005008821,0.24622380141978453,-0.21379267729125315,0.2590900306124996,0.3996940549591628,0.24622380141978453,-0.21413274258415177,0.017260777655692623,-0.2553015301530153,-0.11147914791479148,0.936933693369337,0.5887715947440051,1.0,-0.43324299909665764,-0.3692186088527552,0.22476916279346182,0.3837653026336146,0.04715288788141591,-0.13642420872137292,0.15174690923399597,-0.4215891214709555,-0.415301836119845,0.17286080708734144,-0.287071049639736
dyn_slope,-0.1850800911002581,-0.1965672990063234,-0.31108234005638835,-0.2951193824510748,-0.16865255115171518,-0.007837424320623567,-0.030779428428073546,-0.030433592356526113,-0.2158575664535444,-0.2473359107556973,-0.08728545618789521,0.09622466111832181,-0.02427905522009538,-0.06337372691296203,-0.02074411729314621,0.210280525444304,-0.04165754819555762,-0.26266813618671275,-0.02074411729314621,0.36634051077440627,-0.003751116403513014,-0.006007226738934056,-0.01592140921409214,-0.2790424570912376,-0.13818879855465221,-0.43324299909665764,1.0,0.9026196928635953,-0.05303356694610898,-0.2577683382624343,-0.20051739970496352,-0.1584139003993633,-0.06643057142690305,0.09762159667299028,0.126836946901662,-0.0812480094183123,-0.11029599088535737
dyn_early_late_delta,-0.24968789409266015,-0.2738256549232159,-0.31699895741006917,-0.2840372363492577,-0.20591602302490647,-0.07328104670969211,-0.013414046129585883,0.015683778695709753,-0.27213435469390496,-0.2639242278340607,-0.13685636856368563,0.04666295933968042,-0.056973010260792,-0.16515370598092688,-0.020142344870301795,0.2637848876732815,-0.15348416322871433,-0.346534883191002,-0.020142344870301795,0.33558989247429466,0.06435650311569316,0.0741869918699187,0.02000903342366757,-0.22874887082204157,-0.14875790424570912,-0.3692186088527552,0.9026196928635953,1.0,-0.1574057198269648,-0.3306723991174209,-0.2374258533483883,-0.1796981446868048,-0.108091769968929,0.09241405720686571,0.11046191087485879,-0.11008596769863677,-0.1473662870538922
dyn_n_steps,0.051297047709567195,0.05977391536846407,0.08803515582423788,0.11051382349691995,0.15075812716315637,0.13968765140203707,0.16000271384200912,0.11322746442202228,-0.1283561265029391,-0.09300825853111731,0.01236396439331238,-0.12240936480126474,0.045413872783594565,0.9736014931752339,0.4798465146949034,-0.13195613880720244,0.9796313733475467,0.8828802554414872,0.4798465146949034,0.5457021238259058,-0.47346849354338844,-0.9563031121593276,-0.40620002799013366,0.14512108638310664,0.6766897259440219,0.22476916279346182,-0.05303356694610898,-0.1574057198269648,1.0,0.9085420101476367,0.7543250001620926,0.4418736612361741,0.7492504531889354,0.14785317940754694,-0.012015985938983889,0.7044350161900613,0.2250040942029207
n_unique,0.10821533031835931,0.11145692882547546,0.14813845684040822,0.1591616192823257,0.21443749895225367,0.0938508168978661,0.17373105096196606,0.1278784441722035,-0.09093465213847902,-0.08289826302585239,-0.04256929236433701,-0.14330981351441727,0.1369730038126231,0.8965800238958838,0.5040466033932613,-0.16458110543527096,0.8993868876827384,0.9789060520766681,0.5040466033932613,0.21790087115581044,-0.3863465926072065,-0.873099840503789,-0.4027095058549429,0.295757903916778,0.6402354359322945,0.3837653026336146,-0.2577683382624343,-0.3306723991174209,0.9085420101476367,1.0,0.7886011789375247,0.43850533829447713,0.7713023213685606,0.12139296756780811,-0.04826034699261582,0.7325104720119489,0.21707273756449427
n_edges,0.2096017437103616,0.21885387237267195,0.2077043305462118,0.1760889798191427,0.09288056827717207,0.048158403369528674,0.16774253099086978,0.11516167376159726,-0.1635278092292005,-0.1828897094349095,-0.11237040569786985,-0.09829782481512485,0.17985725541029984,0.7146968558537938,0.2342143018769183,-0.07176164934097243,0.7139884418153463,0.7567146793688251,0.2342143018769183,0.1909232663908937,-0.505285074279564,-0.6533588471104373,-0.285281715717966,-0.055112430734508035,0.3865196795967279,0.04715288788141591,-0.20051739970496352,-0.2374258533483883,0.7543250001620926,0.7886011789375247,1.0,0.7594392341561672,0.8600728452370653,0.5736604228332904,0.4323024070171987,0.5996296614968186,0.6418169932076179
clustering,0.1669201557976799,0.16759952131049172,0.1005309810219736,0.09528530986116382,0.01943248107063063,0.09546549250438179,0.0647084262984698,0.023359024414232436,-0.12844331500268705,-0.1692526050423724,-0.11303388545622918,-0.11523164416963756,0.10247084187020888,0.40090917494264827,-0.013510014362439654,-0.022972569867623492,0.3993339108191944,0.4060662705284988,-0.013510014362439654,0.13420667614088166,-0.42727974731320617,-0.33856238082398354,-0.170402221804572,-0.23970198823760594,0.08589696335000949,-0.13642420872137292,-0.1584139003993633,-0.1796981446868048,0.4418736612361741,0.43850533829447713,0.7594392341561672,1.0,0.4232462633417395,0.5329281321761854,0.4426298171575158,0.36721304311845043,0.8617994388105026
char_path_length,0.23041933012185867,0.24271449181494123,0.23363884860309453,0.19025110766785466,0.08842887219676265,0.01899044514378669,0.21376705305611193,0.11651681233345246,-0.1331869024486538,-0.15128256883875948,-0.13901651641956023,-0.08338960895443118,0.1952985912844146,0.7155973539827247,0.33437797407432673,-0.07227127321818369,0.7136236945870833,0.7412442072319176,0.33437797407432673,0.22888460387255194,-0.4099672355002934,-0.6755979605227599,-0.2610340500946195,0.10105316907731557,0.5142731903354762,0.15174690923399597,-0.06643057142690305,-0.108091769968929,0.7492504531889354,0.7713023213685606,0.8600728452370653,0.4232462633417395,1.0,0.4774726514507284,0.3910569944958168,0.5791761642397146,0.3146746067886115
global_efficiency,0.1916669650872515,0.17813453946396277,0.2400902318225787,0.15105674023923413,-0.04929257879734767,-0.03573624520530144,0.07384886875263624,0.08149263289937053,-0.07584918814936138,-0.13073658111669112,-0.08508402721415316,-0.053791270833873084,0.1332219274667079,0.11526899736262639,-0.13507062780754356,0.009022377976325088,0.11361964545464748,0.10256381779237371,-0.13507062780754356,0.08494263222878097,-0.32212982169668,-0.028887607044994285,0.16538817333524017,-0.4634396109616978,-0.16365022127712672,-0.4215891214709555,0.09762159667299028,0.09241405720686571,0.14785317940754694,0.12139296756780811,0.5736604228332904,0.5329281321761854,0.4774726514507284,1.0,0.7749660417736601,0.10632002484251278,0.6826554297748385
lcc_fraction,0.24717156932729084,0.2363118561428893,0.09775114202678471,0.0425724296192605,-0.056826462686871235,-0.03905617093252083,0.07619648031175806,0.002965634503223287,0.0008894272601146868,-0.1242523378204523,-0.1226126288120002,0.03487662689456627,0.175853776711503,-0.050749295050703885,-0.29762215979771,0.047275165207076045,-0.05267539998111975,-0.07322019641119312,-0.29762215979771,0.024969164206472386,-0.22932221705114114,0.15795079326155545,-0.02317694736452163,-0.4529400163917665,-0.14816735021355454,-0.415301836119845,0.126836946901662,0.11046191087485879,-0.012015985938983889,-0.04826034699261582,0.4323024070171987,0.4426298171575158,0.3910569944958168,0.7749660417736601,1.0,-0.07304721418030888,0.6353659033345729
path_breadth,0.09191275627705008,0.10622961363853017,0.09630561635597068,0.09110075117556245,0.17165224034050183,0.04170934902988975,0.17806961075821323,0.061080256046892115,-0.1420179910836983,-0.10445519294269533,-0.1164619997287295,0.03697652200963525,0.0813905050893347,0.6728182906049041,0.42188739003693626,-0.21486230907074358,0.6841526061647669,0.7055206811515878,0.42188739003693626,0.24628006313534667,-0.28921121725207954,-0.681186151986504,-0.3357562744435658,0.099323966921812,0.45343234651897746,0.17286080708734144,-0.0812480094183123,-0.11008596769863677,0.7044350161900613,0.7325104720119489,0.5996296614968186,0.36721304311845043,0.5791761642397146,0.10632002484251278,-0.07304721418030888,1.0,0.13811104947414285
bh_score,0.15461602818218198,0.1604684344831648,0.11950946334250502,0.05793256487610096,0.0812557679710092,0.03719121738372636,0.023322436898992025,0.04858165786117896,-0.06488089326606891,-0.06979427651500257,-0.026953663152013987,-0.05853335865173381,0.19702276270829785,0.19091030493242092,-0.22699136771141984,0.006940382114125642,0.1882720429201362,0.20180900845328734,-0.22699136771141984,0.024516512615293345,-0.3949256467225522,-0.10722665613436033,-0.03266301472254143,-0.3866135325519298,-0.1492019051211704,-0.287071049639736,-0.11029599088535737,-0.1473662870538922,0.2250040942029207,0.21707273756449427,0.6418169932076179,0.8617994388105026,0.3146746067886115,0.6826554297748385,0.6353659033345729,0.13811104947414285,1.0
